name;address;coords;openYear;closeYear;type
CASA DE COMEDIAS;1° de Mayo ;-34.907092099725865, -56.207831039333506;1793;1855;Privado
TEATRO FRANCÉS;25 de Mayo ;;1843;1847;Privado
TEATRO ITALIANO;Calle Uruguay;;1843;1851;Privado
TEATRO SAN FELIPE (el viejo);1° de Mayo 1445;-34.90682451742941, -56.20807506062567;1855;1879;Privado
TEATRO SOLÍS;Buenos Aires 678;-34.90789269809609, -56.201139789076464;1856;1937;Privado
ALCÁZAR LÍRICO;Treinta y Tres 1382-85;-34.906684096024286, -56.20508146024012;1869;1871;Privado
CIBILS;Ituzaingó 1511;-34.90435480171638, -56.205283473731505;1871;1912;Privado
TEATRO SAN FELIPE Y SANTIAGO (el nuevo);1° de Mayo 1445;-34.906798121794296, -56.20806433178939;1880;1905;Privado
LA LIRA ;Paysandú 767;-34.90239939367849, -56.19946598722287;1885;sigue abierto;Privado 
POLITEAMA;Colonia y Paraguay;-34.90482263037026, -56.19261490480741;1887;1895;Privado 
SALA VERDI;Soriano 914;-34.90822289704118, -56.19643490256777;1894;1946;Privado
CASINO ORIENTAL;Florida 1174;-34.909568011577484, -56.19872227373135;1895;1919;Privado
ROYAL (a/Odeón);Bartolomé Mirte y Reconquista;-34.90818703343212, -56.20119556062516;1895;1953;Privado
STELLA D'ITALIA;Mercedes 1805;-34.90040368291352, -56.17811081605926;1895;sigue abierto;Privado 
EDEN;Juan V. Viacaba entre Bogota y Portugal;-34.88718071904579, -56.251798385934826;1898;1940;Privado
POLITEAMA;Colonia y Paraguay;-34.904910617904505, -56.19257198946231;1901;1919;Privado
DE LOS POCITOS;Pereira y Berro ;-34.90956442043431, -56.14748231791267;1902;1910;Privado
VICTORIA HALL;Río Negro 1483;-34.903419993753616, -56.19401428907679;1902;1948;Privado 
ROMA ;8 de Octubre entre Cipriano Miro y Larravide;-34.87405394334625, -56.139495023989845;1905;1928;Privado
URQUIZA;Mercedes y Andes;-34.90436049445823, -56.198316073731576;1905;1931;Privado
CASINO ;Andes y Colonia;-34.90563849692257, -56.19802144489521;1908;1920;Privado
ARTIGAS;Andes y Colonia;-34.90563849692257, -56.19802144489521;1921;1981;Privado
MARCONI;Yacaré 1590;-34.904595160729286, -56.21081290126721;1909;1912;Privado
MARCONI;Yacaré 1590;-34.904595160729286, -56.21081290126721;1915;1922;Privado
EL PORTEÑO;Yacaré 1590;-34.904595160729286, -56.21081290126721;1923;1927;Privado
18 DE JULIO;Av. 18 de Julio 1286;-34.90568792294488, -56.18823620480721;1910;1952;Privado
COLON;Cerrito y Ciudadela;-34.90322668901268, -56.200882616059026;1910;1931;Privado
LUMIERE ;Florida 1270;-34.905542626923115, -56.19971269067331;1910;1911;Privado
COLISEO FLORIDA;Florida 1270;-34.905542626923115, -56.19971269067331;1912;1917;Privado
de la COMEDIA ;Florida 1270;-34.905542626923115, -56.19971269067331;1918;1920;Privado
APOLO ;Grecia 3281;-34.892104500817865, -56.24799878946526;1915;1962;Privado
CATALUNYA ;Héctor Gutierrez Ruiz 1269 ;-34.90733530927489, -56.19128009377608;1918;1921;Privado
ALBENIZ ;Héctor Gutierrez Ruiz 1269 ;-34.90733530927489, -56.19128009377609;1922;1937;Privado
ZABALA;Av. 18 de Julio 994;-34.90612819367509, -56.194939016058896;1922;1923;Privado
ODEÓN ;Paysandú 767;-34.90239939367849, -56.19946598722287;1925;1965;Privado 
ATENEO POPULAR;Río Negro 1180;-34.909126535343965, -56.19307616062498;1931;sigue abierto;Asociativo
AUDITORIO DEL SODRE;Mercedes y Andes;-34.90436049445823, -56.19831607373153;1931;1971;Público 
TEATRO SOLÍS;Buenos Aires 678;-34.90789269809609, -56.201139789076464;1937;sigue abierto;Público 
NOTARIADO;Guayabos 1729;-34.903486291657224, -56.17863943140409;1938;sigue abierto;Asociativo
SALA VERDI;Soriano 914;-34.90822289704118, -56.19643490256777;1946;2024;Público 
EL TINGLADO;Fernandez Crespo y Mercedes;-34.89971978979937, -56.176181087223036;1947;1958;Independiente
VICTORIA HALL;Río Negro 1483;-34.903419993753616, -56.19401428907679;1948;1956;Público 
ZHITLOVSKY / TEATRO ASTRAL;Durazno 1476;-34.90994304605922, -56.18346427597008;1950;sigue abierto;Asociativo
TEATRO DEL PUEBLO;San José y Yaguaron;-34.90638734121998, -56.187894789461865;1953;1955;Independiente
TEATRO EL GALPÓN;Mercedes y Roxlo;-34.90216229119376, -56.182320616059116;1951;1968;Independiente
TEATRO VICTORIA;Río Negro 1483;-34.903419993753616, -56.19401428907679;1956;2024;Independiente 
EL TINGLADO;Colonia y Martín C. Martínez;-34.89877798186486, -56.17131396817011;1958;sigue abierto;Independiente
FLORENCIO SANCHEZ;Grecia 3281;-34.892104500817865, -56.24799878946526;1962;2024;Público 
ASOCIACIÓN CRISTIANA DE JÓVENES;Colonia 1870;-34.9008922211104, -56.17645048946326;1962;sigue abierto ;Asociativo 
CARLOS BRUSSA (ex-Odeon) ;Paysandú 767;-34.90239939367849, -56.19946598722287;1965;1996;Asociativo 
INSTITUTO CULTURAL ANGLO URUGUAYO - TEATRO ANGLO;San José 1426;-34.90659969877617, -56.184860273731545;1967;sigue abierto;Privado
TEATRO EL GALPÓN;18 de Julio 1618;-34.90405109268587, -56.181071744895384;1969;sigue abierto;Independiente
